ID,Contact,Day,Month,Duration,Campaign,Last Select,Current Select,Sample No
C01,unknown,5,may,261,1,no,Yes,1
C02,unknown,5,may,151,1,no,Yes,1
C03,unknown,5,may,76,1,no,Yes,2
C04,unknown,5,may,92,1,no,Yes,4
C05,unknown,5,may,198,1,no,No,5
C06,unknown,5,may,139,1,no,Yes,2
C07,unknown,5,may,217,1,no,No,1
C08,unknown,5,may,380,1,no,Yes,2
C09,unknown,5,may,50,1,no,Yes,2
C10,unknown,5,may,55,1,no,Yes,1
C100,unknown,5,may,197,1,no,No,5
C1000,unknown,7,may,236,2,no,Yes,2
C10000,unknown,9,jun,948,5,no,Yes,3
C1001,unknown,7,may,164,1,no,Yes,2
C1002,unknown,7,may,93,1,no,No,5
C1003,unknown,7,may,912,2,no,Yes,3
C1004,unknown,7,may,179,2,no,No,1
C1005,unknown,7,may,485,1,no,Yes,2
C1006,unknown,7,may,206,2,no,No,3
C1007,unknown,7,may,311,1,no,No,2
C1008,unknown,7,may,690,2,no,Yes,5
C1009,unknown,7,may,362,1,no,Yes,4
C101,unknown,5,may,257,1,no,No,4
C1010,unknown,7,may,274,1,no,Yes,4
C1011,unknown,7,may,163,1,no,Yes,5
C1012,unknown,7,may,345,1,no,No,4
C1013,unknown,7,may,329,1,no,Yes,2
C1014,unknown,7,may,68,1,no,Yes,4
C1015,unknown,7,may,143,3,no,Yes,5
C1016,unknown,7,may,1062,1,no,Yes,5
C1017,unknown,7,may,71,1,no,Yes,4
C1018,unknown,7,may,106,1,no,No,5
C1019,unknown,7,may,688,2,no,Yes,5
C102,unknown,5,may,124,1,no,Yes,5
C1020,unknown,7,may,103,3,no,Yes,5
C1021,unknown,7,may,349,2,no,Yes,3
C1022,unknown,7,may,78,5,no,Yes,5
C1023,unknown,7,may,194,1,no,No,2
C1024,unknown,7,may,224,5,no,Yes,5
C1025,unknown,7,may,98,1,no,Yes,2
C1026,unknown,7,may,607,1,no,No,2
C1027,unknown,7,may,398,1,no,Yes,5
C1028,unknown,7,may,103,2,no,No,2
C1029,unknown,7,may,241,2,no,No,5
C103,unknown,5,may,229,1,no,No,4
C1030,unknown,7,may,203,1,no,Yes,3
C1031,unknown,7,may,96,3,no,Yes,1
C1032,unknown,7,may,238,3,no,No,4
C1033,unknown,7,may,153,3,no,Yes,1
C1034,unknown,7,may,481,1,no,No,2
C1035,unknown,7,may,2177,4,no,Yes,1
C1036,unknown,7,may,119,3,no,No,2
C1037,unknown,7,may,245,2,no,Yes,1
C1038,unknown,7,may,152,2,no,Yes,5
C1039,unknown,7,may,418,2,no,Yes,5
C104,unknown,5,may,55,3,no,Yes,5
C1040,unknown,7,may,198,2,no,No,5
C1041,unknown,7,may,198,2,no,Yes,1
C1042,unknown,7,may,374,1,no,Yes,4
C1043,unknown,7,may,51,1,no,No,2
C1044,unknown,7,may,263,1,no,Yes,1
C1045,unknown,7,may,229,2,no,Yes,2
C1046,unknown,7,may,154,2,no,Yes,3
C1047,unknown,7,may,278,6,no,No,4
C1048,unknown,7,may,306,5,no,Yes,5
C1049,unknown,7,may,114,2,no,Yes,4
C105,unknown,5,may,400,1,no,Yes,3
C1050,unknown,7,may,94,2,no,Yes,5
C1051,unknown,7,may,208,2,no,Yes,3
C1052,unknown,7,may,169,2,no,Yes,2
C1053,unknown,7,may,332,2,no,No,3
C1054,unknown,7,may,263,6,no,No,4
C1055,unknown,7,may,353,3,no,Yes,3
C1056,unknown,7,may,108,6,no,Yes,4
C1057,unknown,7,may,441,2,no,Yes,1
C1058,unknown,7,may,46,3,no,Yes,5
C1059,unknown,7,may,266,2,no,Yes,3
C106,unknown,5,may,197,1,no,No,5
C1060,unknown,7,may,223,2,no,No,2
C1061,unknown,7,may,105,2,no,Yes,5
C1062,unknown,7,may,165,3,no,Yes,1
C1063,unknown,7,may,381,2,no,No,4
C1064,unknown,7,may,228,3,no,No,1
C1065,unknown,7,may,128,2,no,No,4
C1066,unknown,7,may,764,3,no,Yes,1
C1067,unknown,7,may,113,3,no,Yes,4
C1068,unknown,7,may,396,4,no,Yes,2
C1069,unknown,7,may,133,3,no,No,5
C107,unknown,5,may,190,1,no,Yes,2
C1070,unknown,7,may,42,2,no,Yes,2
C1071,unknown,7,may,234,4,no,Yes,2
C1072,unknown,7,may,297,3,no,Yes,4
C1073,unknown,7,may,50,2,no,Yes,2
C1074,unknown,7,may,214,2,no,Yes,2
C1075,unknown,7,may,110,2,no,No,3
C1076,unknown,7,may,99,2,no,Yes,1
C1077,unknown,7,may,274,4,no,Yes,3
C1078,unknown,7,may,191,4,no,No,5
C1079,unknown,7,may,305,3,no,Yes,1
C108,unknown,5,may,21,1,no,No,3
C1080,unknown,7,may,134,2,no,No,4
C1081,unknown,7,may,112,4,no,Yes,3
C1082,unknown,7,may,283,3,no,Yes,4
C1083,unknown,7,may,353,4,no,Yes,3
C1084,unknown,7,may,212,2,no,Yes,4
C1085,unknown,7,may,225,2,no,No,1
C1086,unknown,7,may,283,1,no,Yes,1
C1087,unknown,7,may,1273,1,no,Yes,4
C1088,unknown,7,may,1574,2,yes,Yes,5
C1089,unknown,7,may,139,3,no,Yes,2
C109,unknown,5,may,514,1,no,No,3
C1090,unknown,7,may,228,2,no,Yes,4
C1091,unknown,7,may,62,5,no,Yes,2
C1092,unknown,7,may,256,3,no,No,5
C1093,unknown,7,may,564,3,no,Yes,3
C1094,unknown,7,may,245,2,no,Yes,3
C1095,unknown,7,may,161,2,no,Yes,3
C1096,unknown,7,may,79,4,no,Yes,5
C1097,unknown,7,may,152,3,no,Yes,4
C1098,unknown,7,may,591,3,no,Yes,3
C1099,unknown,7,may,113,2,no,Yes,1
C11,unknown,5,may,222,1,no,Yes,1
C110,unknown,5,may,849,2,no,Yes,4
C1100,unknown,7,may,193,3,no,No,3
C1101,unknown,7,may,299,2,no,No,1
C1102,unknown,7,may,348,3,no,Yes,4
C1103,unknown,7,may,103,4,no,Yes,5
C1104,unknown,7,may,253,8,no,Yes,3
C1105,unknown,7,may,127,2,no,No,3
C1106,unknown,7,may,244,7,no,Yes,5
C1107,unknown,7,may,157,6,no,Yes,3
C1108,unknown,7,may,548,2,no,No,4
C1109,unknown,7,may,114,3,no,No,1
C111,unknown,5,may,194,1,no,Yes,5
C1110,unknown,7,may,126,5,no,Yes,4
C1111,unknown,7,may,161,3,no,No,1
C1112,unknown,7,may,333,1,no,No,3
C1113,unknown,7,may,155,1,no,Yes,5
C1114,unknown,7,may,152,3,no,Yes,5
C1115,unknown,7,may,145,1,no,Yes,3
C1116,unknown,7,may,66,3,no,Yes,5
C1117,unknown,7,may,123,2,no,Yes,3
C1118,unknown,7,may,74,1,no,Yes,1
C1119,unknown,7,may,248,3,no,Yes,2
C112,unknown,5,may,144,1,no,Yes,3
C1120,unknown,7,may,130,1,no,Yes,4
C1121,unknown,7,may,71,1,no,Yes,4
C1122,unknown,7,may,984,1,no,Yes,5
C1123,unknown,7,may,252,1,no,Yes,1
C1124,unknown,7,may,84,2,no,Yes,1
C1125,unknown,7,may,1689,4,yes,Yes,4
C1126,unknown,7,may,130,4,no,No,4
