ID,Age,Job,Marital,Education,Loan Default,Balance,Housing Loan,Personal Loan
C01,58,management,married,tertiary,no,2143,yes,no
C02,44,technician,single,secondary,no,29,yes,no
C03,33,entrepreneur,married,secondary,no,2,yes,yes
C04,47,blue-collar,married,unknown,no,1506,yes,no
C05,33,unknown,single,unknown,no,1,no,no
C06,35,management,married,tertiary,no,231,yes,no
C07,28,management,single,tertiary,no,447,yes,yes
C08,42,entrepreneur,divorced,tertiary,yes,2,yes,no
C09,58,retired,married,primary,no,121,yes,no
C10,43,technician,single,secondary,no,593,yes,no
C100,46,management,married,tertiary,no,229,yes,no
C1000,33,technician,single,secondary,no,56,no,no
C10000,42,technician,married,secondary,no,8036,no,no
C1001,47,admin.,married,unknown,no,0,yes,no
C1002,50,technician,married,secondary,no,73,no,no
C1003,30,blue-collar,single,primary,no,660,yes,no
C1004,44,services,married,primary,no,-79,yes,no
C1005,44,blue-collar,divorced,secondary,no,558,yes,no
C1006,30,services,single,secondary,no,342,yes,no
C1007,40,blue-collar,married,unknown,no,-4,yes,no
C1008,41,blue-collar,married,unknown,no,225,yes,no
C1009,34,blue-collar,married,primary,no,267,yes,no
C101,44,blue-collar,married,secondary,no,-674,yes,no
C1010,53,services,married,primary,no,46,yes,no
C1011,35,blue-collar,married,primary,no,624,yes,no
C1012,34,technician,divorced,secondary,no,1107,yes,yes
C1013,39,admin.,single,secondary,no,573,yes,no
C1014,39,management,single,tertiary,no,406,yes,no
C1015,52,services,divorced,secondary,no,220,yes,no
C1016,34,blue-collar,married,secondary,no,2308,yes,no
C1017,37,blue-collar,divorced,primary,no,139,yes,no
C1018,39,admin.,married,secondary,no,367,yes,no
C1019,52,entrepreneur,divorced,primary,no,278,yes,no
C102,53,blue-collar,married,primary,no,90,no,no
C1020,35,blue-collar,married,primary,no,229,yes,no
C1021,36,entrepreneur,married,tertiary,no,1722,yes,no
C1022,48,technician,married,secondary,no,-500,yes,no
C1023,31,admin.,divorced,secondary,no,308,yes,no
C1024,43,technician,divorced,tertiary,no,1026,yes,yes
C1025,43,blue-collar,single,primary,no,548,yes,no
C1026,39,blue-collar,married,secondary,no,356,yes,yes
C1027,40,technician,married,primary,no,164,yes,no
C1028,58,management,married,tertiary,no,211,no,no
C1029,31,blue-collar,married,primary,no,19,yes,no
C103,52,blue-collar,married,primary,no,128,yes,no
C1030,41,blue-collar,married,secondary,no,108,yes,yes
C1031,37,management,married,tertiary,no,308,yes,no
C1032,44,services,divorced,secondary,no,7,yes,yes
C1033,37,technician,married,tertiary,no,16,yes,yes
C1034,39,blue-collar,married,primary,no,867,yes,no
C1035,41,blue-collar,single,secondary,no,277,yes,no
C1036,52,blue-collar,divorced,primary,no,196,yes,no
C1037,29,blue-collar,single,primary,no,365,yes,yes
C1038,60,blue-collar,divorced,secondary,no,1310,no,no
C1039,32,technician,married,secondary,no,186,no,no
C104,59,blue-collar,married,primary,no,179,yes,no
C1040,50,services,single,primary,no,148,yes,no
C1041,56,blue-collar,married,primary,no,862,yes,yes
C1042,48,admin.,married,secondary,no,359,yes,no
C1043,29,blue-collar,married,primary,no,190,no,no
C1044,40,blue-collar,married,secondary,no,4,yes,yes
C1045,42,admin.,divorced,secondary,no,0,yes,no
C1046,34,blue-collar,married,secondary,no,42,yes,no
C1047,23,management,single,tertiary,no,2605,yes,no
C1048,30,technician,single,tertiary,no,60,yes,yes
C1049,51,management,married,primary,no,98,yes,no
C105,27,technician,single,tertiary,no,0,yes,no
C1050,52,technician,single,secondary,no,-181,yes,no
C1051,45,technician,married,secondary,no,118,yes,no
C1052,41,blue-collar,married,secondary,no,-15,yes,no
C1053,27,student,single,secondary,no,671,yes,no
C1054,50,blue-collar,married,secondary,no,1557,yes,no
C1055,36,blue-collar,married,primary,no,-20,yes,no
C1056,46,blue-collar,married,primary,no,323,yes,no
C1057,44,blue-collar,married,primary,no,-171,yes,no
C1058,47,blue-collar,married,secondary,no,438,yes,no
C1059,40,blue-collar,married,secondary,no,316,yes,no
C106,44,blue-collar,married,secondary,no,54,yes,no
C1060,36,services,single,secondary,no,174,yes,no
C1061,46,blue-collar,married,secondary,no,442,yes,no
C1062,58,technician,married,secondary,no,786,yes,no
C1063,30,technician,divorced,tertiary,no,-317,yes,no
C1064,43,blue-collar,married,secondary,no,667,yes,no
C1065,29,services,single,secondary,no,-158,yes,no
C1066,41,management,married,tertiary,no,72,yes,no
C1067,44,entrepreneur,married,primary,no,58,yes,no
C1068,44,services,divorced,secondary,no,396,yes,yes
C1069,59,blue-collar,married,primary,no,10,yes,no
C107,47,technician,married,tertiary,no,151,yes,no
C1070,39,management,single,unknown,no,2887,yes,no
C1071,42,management,married,secondary,no,0,no,no
C1072,31,admin.,married,secondary,no,89,no,no
C1073,29,unknown,single,primary,no,50,yes,no
C1074,39,blue-collar,single,secondary,no,29,yes,no
C1075,44,blue-collar,married,primary,no,420,yes,no
C1076,49,services,single,primary,no,114,yes,no
C1077,39,housemaid,married,secondary,no,365,yes,no
C1078,27,blue-collar,single,secondary,no,0,yes,no
C1079,56,management,married,primary,no,-24,yes,no
C108,34,admin.,married,secondary,no,61,no,yes
C1080,43,technician,married,tertiary,no,743,yes,no
C1081,37,self-employed,married,primary,no,0,no,no
C1082,54,technician,single,secondary,no,99,yes,no
C1083,38,blue-collar,married,secondary,no,22,yes,yes
C1084,31,blue-collar,married,primary,no,251,yes,no
C1085,34,blue-collar,married,secondary,no,615,yes,no
C1086,35,admin.,married,primary,no,136,yes,no
C1087,44,blue-collar,single,unknown,no,2167,yes,no
C1088,30,blue-collar,married,secondary,no,309,yes,no
C1089,51,technician,married,secondary,no,221,yes,no
C109,59,retired,single,secondary,no,30,yes,no
C1090,37,blue-collar,married,primary,no,321,yes,no
C1091,39,blue-collar,married,tertiary,no,-33,yes,no
C1092,33,management,single,tertiary,no,76,yes,no
C1093,37,management,divorced,tertiary,no,42,yes,no
C1094,46,blue-collar,single,secondary,no,76,yes,no
C1095,32,admin.,married,secondary,no,1293,yes,no
C1096,43,entrepreneur,married,primary,no,526,yes,no
C1097,59,housemaid,divorced,unknown,no,873,yes,no
C1098,46,admin.,married,primary,no,40,yes,no
C1099,47,blue-collar,married,primary,no,117,yes,no
C11,41,admin.,divorced,secondary,no,270,yes,no
C110,45,management,married,tertiary,no,523,yes,no
C1100,31,services,single,secondary,no,671,yes,no
C1101,30,blue-collar,married,primary,no,145,yes,no
C1102,38,blue-collar,married,primary,no,1807,no,no
C1103,44,blue-collar,single,secondary,no,-212,yes,yes
C1104,52,technician,married,unknown,no,133,yes,no
C1105,29,services,single,secondary,no,566,no,no
C1106,43,admin.,married,tertiary,no,1924,yes,no
C1107,47,technician,married,primary,no,145,yes,no
C1108,43,blue-collar,married,primary,no,487,yes,no
C1109,52,blue-collar,divorced,primary,no,-57,yes,no
C111,29,services,divorced,secondary,no,31,yes,no
C1110,32,services,single,secondary,no,81,yes,no
C1111,40,admin.,single,secondary,no,-227,yes,no
C1112,57,technician,divorced,secondary,no,2710,yes,yes
C1113,30,services,divorced,secondary,no,98,yes,no
C1114,48,blue-collar,married,secondary,no,1230,yes,yes
C1115,46,blue-collar,married,secondary,no,78,yes,yes
C1116,59,retired,divorced,primary,no,137,yes,yes
C1117,50,blue-collar,married,primary,yes,354,yes,no
C1118,50,blue-collar,divorced,primary,no,149,yes,no
C1119,33,blue-collar,divorced,secondary,no,126,yes,no
C112,46,technician,divorced,secondary,no,79,no,no
C1120,39,technician,single,unknown,no,0,yes,no
C1121,57,retired,divorced,secondary,no,8266,yes,no
C1122,49,blue-collar,married,unknown,no,51,yes,no
C1123,41,blue-collar,married,primary,no,258,yes,no
C1124,43,technician,married,primary,no,117,yes,no
C1125,29,management,married,tertiary,no,199,yes,yes
C1126,56,services,married,primary,no,219,yes,no
C1127,46,technician,married,secondary,no,1571,yes,no
C1128,42,blue-collar,married,primary,no,223,yes,no
C1129,36,blue-collar,married,primary,no,-79,no,no
C113,56,self-employed,married,primary,no,-34,yes,yes
C1130,29,services,married,primary,no,321,yes,no
C1131,43,admin.,single,secondary,no,2527,yes,no
C1132,48,admin.,married,secondary,no,5,yes,no
C1133,38,blue-collar,single,primary,no,20,yes,no
C1134,46,blue-collar,married,secondary,no,1045,yes,yes
C1135,44,blue-collar,married,secondary,no,1,yes,no
C1136,28,management,married,tertiary,no,3,yes,no
C1137,28,blue-collar,married,primary,no,-55,yes,no
C1138,36,technician,divorced,secondary,no,141,yes,no
C1139,37,blue-collar,married,secondary,no,374,yes,no
C114,36,blue-collar,married,primary,no,448,yes,no
C1140,56,management,married,primary,no,93,yes,no
C1141,46,blue-collar,single,tertiary,no,460,yes,no
C1142,34,services,divorced,secondary,no,78,yes,no
C1143,32,entrepreneur,married,secondary,no,135,yes,no
C1144,33,technician,married,secondary,no,367,yes,yes
C1145,36,services,single,secondary,no,248,yes,no
C1146,35,services,married,secondary,no,630,yes,no
C1147,44,admin.,single,secondary,no,-30,yes,no
C1148,37,technician,married,secondary,no,157,yes,no
C1149,48,admin.,divorced,secondary,no,268,yes,no
C115,59,retired,divorced,primary,no,81,yes,no
C1150,38,blue-collar,married,secondary,no,164,yes,no
C1151,44,technician,married,secondary,no,-97,yes,no
C1152,31,admin.,divorced,secondary,no,53,yes,no
C1153,35,management,divorced,tertiary,no,788,yes,no
C1154,54,technician,divorced,secondary,no,1904,yes,yes
C1155,28,admin.,single,secondary,no,260,yes,no
C1156,38,unemployed,married,primary,no,447,yes,no
C1157,48,technician,married,secondary,no,720,yes,no
C1158,31,blue-collar,married,tertiary,no,2827,yes,no
C1159,59,retired,married,unknown,no,0,no,no
C116,44,blue-collar,married,secondary,no,144,yes,no
C1160,29,admin.,single,secondary,no,1117,yes,no
C1161,28,blue-collar,married,secondary,no,597,yes,no
C1162,50,blue-collar,married,primary,no,362,yes,no
C1163,31,self-employed,single,tertiary,no,120,yes,no
C1164,32,admin.,single,secondary,no,89,yes,yes
C1165,30,services,married,secondary,no,442,yes,no
C1166,32,management,single,tertiary,no,111,yes,no
C1167,29,technician,single,secondary,no,247,yes,no
C1168,30,admin.,divorced,secondary,no,1,yes,no
C1169,34,management,married,primary,no,6,yes,no
C117,41,admin.,married,secondary,no,351,yes,no
C1170,34,blue-collar,single,secondary,yes,-947,yes,no
C1171,41,blue-collar,married,primary,no,191,yes,no
C1172,36,blue-collar,married,secondary,no,-147,yes,no
C1173,31,technician,single,tertiary,no,703,yes,no
C1174,39,blue-collar,married,primary,no,70,no,no
C1175,36,technician,married,secondary,no,83,yes,no
C1176,39,blue-collar,married,secondary,no,125,yes,no
C1177,37,blue-collar,married,primary,no,190,yes,yes
C1178,52,blue-collar,married,secondary,no,46,yes,no
C1179,25,management,single,tertiary,no,1348,yes,no
C118,33,management,single,tertiary,no,-67,yes,no
C1180,42,technician,married,secondary,no,420,yes,no
C1181,27,services,divorced,secondary,no,96,yes,no
C1182,42,blue-collar,married,primary,no,271,yes,no
C1183,29,admin.,divorced,secondary,no,1320,yes,yes
C1184,38,blue-collar,married,primary,no,54,yes,no
C1185,42,entrepreneur,married,primary,no,198,yes,no
C1186,35,self-employed,married,primary,no,1094,yes,no
C1187,41,management,married,tertiary,no,141,yes,yes
C1188,57,retired,married,primary,no,207,yes,no
C1189,36,blue-collar,married,secondary,no,-206,yes,no
C119,59,management,divorced,tertiary,no,262,no,no
C1190,56,management,divorced,tertiary,no,177,yes,no
C1191,33,blue-collar,divorced,primary,no,176,yes,no
C1192,41,entrepreneur,divorced,tertiary,no,-413,yes,no
C1193,33,blue-collar,married,primary,no,-81,yes,no
C1194,35,management,divorced,tertiary,no,3837,yes,no
C1195,43,management,married,tertiary,no,870,yes,yes
C1196,36,admin.,single,secondary,no,206,yes,no
C1197,37,technician,married,secondary,no,316,yes,no
C1198,51,management,married,primary,yes,57,yes,yes
C1199,28,housemaid,divorced,primary,no,1,yes,no
C12,29,admin.,single,secondary,no,390,yes,no
C120,57,technician,married,primary,no,0,no,no
C1200,43,blue-collar,married,secondary,yes,-7,no,no
C1201,32,blue-collar,single,primary,no,611,yes,no
C1202,36,entrepreneur,single,secondary,no,157,yes,no
C1203,33,unemployed,single,secondary,no,233,yes,no
